model,threshold,precision,recall,f1,business_cost,TP,TN,FP,FN
Random Forest,0.82,0.9466666666666667,0.7553191489361702,0.8402366863905325,234,71,56647,4,23
Random Forest,0.83,0.9722222222222222,0.7446808510638298,0.8433734939759037,242,70,56649,2,24
Random Forest,0.84,0.9722222222222222,0.7446808510638298,0.8433734939759037,242,70,56649,2,24
Random Forest,0.85,0.9710144927536232,0.7127659574468085,0.8220858895705522,272,67,56649,2,27
Random Forest,0.86,0.9710144927536232,0.7127659574468085,0.8220858895705522,272,67,56649,2,27
Random Forest,0.87,0.9705882352941176,0.7021276595744681,0.8148148148148148,282,66,56649,2,28
Random Forest,0.88,0.9705882352941176,0.7021276595744681,0.8148148148148148,282,66,56649,2,28
Random Forest,0.89,0.9705882352941176,0.7021276595744681,0.8148148148148148,282,66,56649,2,28
Random Forest,0.9,0.9705882352941176,0.7021276595744681,0.8148148148148148,282,66,56649,2,28
Random Forest,0.91,0.9705882352941176,0.7021276595744681,0.8148148148148148,282,66,56649,2,28
Random Forest,0.92,0.9846153846153847,0.6808510638297872,0.8050314465408805,301,64,56650,1,30
Random Forest,0.93,0.9833333333333333,0.6276595744680851,0.7662337662337663,351,59,56650,1,35
Random Forest,0.94,0.9827586206896551,0.6063829787234043,0.75,371,57,56650,1,37
Random Forest,0.95,0.9811320754716981,0.5531914893617021,0.7074829931972789,421,52,56650,1,42
Random Forest,0.96,1.0,0.5319148936170213,0.6944444444444444,440,50,56651,0,44
Random Forest,0.97,1.0,0.48936170212765956,0.6571428571428571,480,46,56651,0,48
Random Forest,0.98,1.0,0.3829787234042553,0.5538461538461539,580,36,56651,0,58
Random Forest,0.99,1.0,0.2765957446808511,0.43333333333333335,680,26,56651,0,68
HistGradientBoosting,0.01,0.0016567379886495823,1.0,0.0033079954954954955,56644,94,7,56644,0
HistGradientBoosting,0.02,0.001642993428026288,0.9893617021276596,0.0032805389960845178,56521,93,140,56511,1
HistGradientBoosting,0.03,0.036939313984168866,0.8936170212765957,0.07094594594594594,2290,84,54461,2190,10
HistGradientBoosting,0.04,0.056910569105691054,0.8936170212765957,0.1070063694267516,1492,84,55259,1392,10
HistGradientBoosting,0.05,0.07329842931937172,0.8936170212765957,0.13548387096774195,1162,84,55589,1062,10
HistGradientBoosting,0.06,0.09470124013528748,0.8936170212765957,0.1712538226299694,903,84,55848,803,10
HistGradientBoosting,0.07,0.1089238845144357,0.8829787234042553,0.1939252336448598,789,83,55972,679,11
HistGradientBoosting,0.08,0.12710566615620214,0.8829787234042553,0.2222222222222222,680,83,56081,570,11
HistGradientBoosting,0.09,0.141396933560477,0.8829787234042553,0.24375917767988253,614,83,56147,504,11
HistGradientBoosting,0.1,0.16116504854368932,0.8829787234042553,0.27257799671592775,542,83,56219,432,11
HistGradientBoosting,0.11,0.17547568710359407,0.8829787234042553,0.2927689594356261,500,83,56261,390,11
HistGradientBoosting,0.12,0.1966824644549763,0.8829787234042553,0.32170542635658916,449,83,56312,339,11
HistGradientBoosting,0.13,0.21065989847715735,0.8829787234042553,0.3401639344262295,421,83,56340,311,11
HistGradientBoosting,0.14,0.22802197802197802,0.8829787234042553,0.3624454148471616,391,83,56370,281,11
HistGradientBoosting,0.15,0.2434017595307918,0.8829787234042553,0.3816091954022989,368,83,56393,258,11
HistGradientBoosting,0.16,0.24776119402985075,0.8829787234042553,0.38694638694638694,362,83,56399,252,11
HistGradientBoosting,0.17,0.2610062893081761,0.8829787234042553,0.4029126213592233,345,83,56416,235,11
HistGradientBoosting,0.18,0.2757475083056478,0.8829787234042553,0.42025316455696204,328,83,56433,218,11
HistGradientBoosting,0.19,0.28620689655172415,0.8829787234042553,0.4322916666666667,317,83,56444,207,11
HistGradientBoosting,0.2,0.3018181818181818,0.8829787234042553,0.44986449864498645,302,83,56459,192,11
HistGradientBoosting,0.21,0.3048327137546468,0.8723404255319149,0.45179063360881544,307,82,56464,187,12
HistGradientBoosting,0.22,0.3241106719367589,0.8723404255319149,0.47262247838616717,291,82,56480,171,12
HistGradientBoosting,0.23,0.34024896265560167,0.8723404255319149,0.48955223880597015,279,82,56492,159,12
HistGradientBoosting,0.24,0.3565217391304348,0.8723404255319149,0.5061728395061729,268,82,56503,148,12
HistGradientBoosting,0.25,0.37104072398190047,0.8723404255319149,0.5206349206349207,259,82,56512,139,12
HistGradientBoosting,0.26,0.3923444976076555,0.8723404255319149,0.5412541254125413,247,82,56524,127,12
HistGradientBoosting,0.27,0.4019607843137255,0.8723404255319149,0.5503355704697986,242,82,56529,122,12
HistGradientBoosting,0.28,0.41624365482233505,0.8723404255319149,0.563573883161512,235,82,56536,115,12
HistGradientBoosting,0.29,0.4293193717277487,0.8723404255319149,0.5754385964912281,229,82,56542,109,12
HistGradientBoosting,0.3,0.43617021276595747,0.8723404255319149,0.5815602836879432,226,82,56545,106,12
HistGradientBoosting,0.31,0.44565217391304346,0.8723404255319149,0.5899280575539568,222,82,56549,102,12
HistGradientBoosting,0.32,0.45555555555555555,0.8723404255319149,0.5985401459854015,218,82,56553,98,12
HistGradientBoosting,0.33,0.4606741573033708,0.8723404255319149,0.6029411764705882,216,82,56555,96,12
HistGradientBoosting,0.34,0.4685714285714286,0.8723404255319149,0.6096654275092936,213,82,56558,93,12
HistGradientBoosting,0.35,0.4823529411764706,0.8723404255319149,0.6212121212121212,208,82,56563,88,12
HistGradientBoosting,0.36,0.49101796407185627,0.8723404255319149,0.6283524904214559,205,82,56566,85,12
